Estacao,Latitude,Longitude
A612,-20.27083332,-40.30583333
A613,-19.988388,-40.579572
A614,-19.35694444,-40.0686111
A615,-20.63638888,-40.74194444
A616,-18.6761111,-39.86416666
A617,-20.75055555,-41.48888888
A622,-21.10083333,-41.03944444
A623,-18.69527777,-40.39055555
A631,-18.29138888,-40.73638888
A632,-19.40722222,-40.53972221
A633,-20.38555555,-41.18999999
A634,-20.46694443,-40.40388888
A657,-20.10416666,-41.10694444
A601,-22.75777777,-43.68472221
A602,-23.05027777,-43.59555555
A603,-22.58972221,-43.28222221
A604,-21.58749999,-41.95833333
A606,-22.97527777,-42.02138888
A607,-21.71472222,-41.34388888
A608,-22.3761111,-41.81194444
A609,-22.45138888,-44.44499999
A610,-22.46472222,-43.29138888
A611,-22.35805555,-43.69555555
A618,-22.4486111,-42.98694444
A619,-23.2236111,-44.72694443
A620,-22.04166666,-41.05166666
A621,-22.86138888,-43.41138888
A624,-22.33472221,-42.67694443
A625,-22.09833333,-43.20833333
A626,-22.653579,-44.040916
A627,-22.86749999,-43.10194444
A628,-22.97555554,-44.30333333
A629,-21.938745,-42.600936
A630,-21.95055555,-42.01027777
A636,-22.93999999,-43.40277777
A637,-22.34722221,-43.41777777
A652,-22.98833333,-43.19055555
A659,-22.64583333,-42.41555555
A667,-22.8711111,-42.60888888
