Data,Precipitacao,Pressao_atmosferica,Pressao_atmosferica_max,Pressao_atmosferica_min,Radiacao,Temperatura_do_ar,Temperatura_de_orvalho,Temperatura_max,Temperatura_min,Temperatura_de_orvalho_max,Temperatura_de_orvalho_min,Umidade_rel_max,Umidade_rel_min,Umidade_rel,Vento_direcao,Vento_rajada_max,Vento_velocidade
2002-11-20,,,,,,,,,,,,,,,,,
2002-11-21,,,,,,,,,,,,,,,,,
2002-11-22,,,,,,,,,,,,,,,,,
2002-11-23,,,,,,,,,,,,,,,,,
2002-11-24,,,,,,,,,,,,,,,,,
2002-11-25,,,,,,,,,,,,,,,,,
2002-11-26,,,,,,,,,,,,,,,,,
2002-11-27,,,,,,,,,,,,,,,,,
2002-11-28,,,,,,,,,,,,,,,,,
2002-11-29,,,,,,,,,,,,,,,,,
2002-11-30,,,,,,,,,,,,,,,,,
2002-12-01,,,,,,,,,,,,,,,,,
2002-12-02,,,,,,,,,,,,,,,,,
2002-12-03,,,,,,,,,,,,,,,,,
2002-12-04,,,,,,,,,,,,,,,,,
2002-12-05,,,,,,,,,,,,,,,,,
2002-12-06,,,,,,,,,,,,,,,,,
2002-12-07,,,,,,,,,,,,,,,,,
2002-12-08,,,,,,,,,,,,,,,,,
2002-12-09,,,,,,,,,,,,,,,,,
2002-12-10,2.13,1007.7299999999999,1007.915,1007.485,1389.4545454545455,24.869999999999997,21.85,25.22,24.494999999999997,22.29,21.575,86.3,81.75,83.8,116.7,4.675,1.9649999999999999
2002-12-11,0.45,1008.3208333333333,1008.5875,1008.0958333333333,819.6,25.420833333333334,21.291666666666668,25.8,25.083333333333332,21.71666666666667,20.829166666666666,81.125,75.0,78.25,94.95833333333333,3.9,1.6083333333333334
2002-12-12,1.2583333333333333,1006.4375,1006.6999999999999,1006.2291666666666,427.64285714285717,23.55,21.545833333333334,23.766666666666666,23.391666666666666,21.8625,21.220833333333335,90.08333333333333,86.25,88.41666666666667,152.95833333333334,2.5416666666666665,1.0291666666666666
2002-12-13,1.1304347826086956,1005.5304347826087,1005.7565217391304,1005.3478260869565,456.14285714285717,23.52608695652174,21.33478260869565,23.682608695652174,23.334782608695654,21.57391304347826,21.017391304347825,89.1304347826087,85.82608695652173,87.65217391304348,177.95652173913044,2.317391304347826,0.7869565217391304
2002-12-14,0.041666666666666664,1006.6041666666666,1006.8041666666667,1006.3291666666668,667.2857142857143,24.858333333333334,21.645833333333332,25.150000000000002,24.604166666666668,22.1125,21.3,84.875,80.25,82.58333333333333,201.25,2.85,1.1375
2002-12-15,0.05000000000000001,1006.4208333333332,1006.7624999999999,1006.1958333333333,1032.7857142857142,25.03333333333333,21.683333333333334,25.3875,24.704166666666666,22.070833333333336,21.287499999999998,84.33333333333333,79.66666666666667,82.04166666666667,221.66666666666666,2.5749999999999997,1.0374999999999999
2002-12-16,0.19090909090909092,1005.2090909090908,1005.55,1004.9272727272728,710.8461538461538,24.95,21.87272727272727,25.295454545454547,24.654545454545453,22.404545454545453,21.231818181818184,86.36363636363636,80.22727272727273,83.72727272727273,206.95454545454547,2.790909090909091,0.9818181818181819
2002-12-17,0.017391304347826087,1003.6043478260871,1003.9,1003.3434782608696,2087.5714285714284,26.665217391304346,20.543478260869566,27.104347826086954,26.030434782608697,21.291304347826088,19.97826086956522,75.95652173913044,68.78260869565217,71.6086956521739,245.7391304347826,4.808695652173912,1.8695652173913044
2002-12-18,0.02666666666666667,1007.12,1007.36,1006.66,2426.0833333333335,28.08,19.473333333333336,28.78666666666667,27.5,20.38,18.720000000000002,64.2,56.733333333333334,60.4,133.2,5.253333333333333,2.4
2002-12-19,0.0,1009.0200000000001,1009.3299999999999,1008.85,1641.090909090909,24.515,18.794999999999998,24.884999999999998,23.89,19.305,18.285,74.85,68.7,71.7,154.25,3.46,1.52
2002-12-20,0.0,1007.3625000000001,1007.7125,1007.1833333333334,2020.5714285714287,26.325,20.866666666666667,26.879166666666666,25.691666666666666,21.370833333333334,20.3125,77.0,70.45833333333333,73.66666666666667,203.45833333333334,3.6875,1.6375
2002-12-21,0.0,1006.7416666666667,1007.0208333333334,1006.3625000000001,1835.857142857143,27.849999999999998,21.425,28.516666666666666,27.27916666666667,22.2375,20.654166666666665,73.66666666666667,65.16666666666667,69.54166666666667,173.79166666666666,4.320833333333334,1.5583333333333333
2002-12-22,0.0,1006.8249999999999,1007.0666666666666,1006.6083333333332,1838.2857142857142,26.820833333333336,21.691666666666666,27.291666666666668,26.40833333333333,22.2625,21.349999999999998,77.20833333333333,72.04166666666667,74.41666666666667,153.625,4.395833333333333,2.1708333333333334
2002-12-23,0.0,1005.9416666666666,1006.2875,1005.6999999999999,1732.2142857142858,26.25,20.795833333333334,26.8625,25.7625,21.295833333333334,20.325,75.5,69.83333333333333,72.625,114.45833333333333,4.3999999999999995,2.1333333333333333
2002-12-24,0.0,1002.65,1003.0454545454545,1002.4681818181817,2260.6923076923076,27.913636363636364,22.354545454545455,28.322727272727274,27.268181818181816,22.795454545454547,21.831818181818182,76.54545454545455,71.0909090909091,73.54545454545455,202.1818181818182,4.013636363636364,1.6545454545454545
2002-12-25,0.20833333333333334,1002.0333333333333,1002.2291666666666,1001.7125,1683.642857142857,28.304166666666664,22.916666666666668,28.929166666666664,27.729166666666668,23.6875,22.241666666666664,77.83333333333333,70.16666666666667,73.70833333333333,205.45833333333334,3.6625,1.3333333333333333
2002-12-26,1.3636363636363635,1006.3772727272727,1006.5590909090909,1006.0227272727273,1342.5384615384614,25.104545454545452,21.472727272727273,25.60909090909091,24.781818181818185,22.05,21.09090909090909,83.68181818181819,78.4090909090909,81.0909090909091,120.68181818181819,4.118181818181818,1.8045454545454547
2002-12-27,0.0,1008.1541666666667,1008.4125,1007.9833333333332,2311.714285714286,24.245833333333334,17.591666666666665,24.833333333333332,23.71666666666667,18.320833333333333,16.724999999999998,72.25,64.83333333333333,68.79166666666667,152.45833333333334,2.7875,1.1416666666666666
2002-12-28,0.11428571428571428,1005.6380952380953,1005.9619047619047,1005.4952380952382,1871.0,24.990476190476187,20.17142857142857,25.595238095238095,24.34285714285714,20.704761904761906,19.47142857142857,78.9047619047619,70.80952380952381,75.0952380952381,168.0,3.3904761904761904,1.4333333333333333
2002-12-29,0.12,1004.5450000000001,1004.8299999999999,1004.3399999999999,1971.3636363636363,25.405,21.34,26.055,24.740000000000002,21.855,20.765,82.9,74.75,79.1,159.3,4.904999999999999,1.85
